Address,house_number,house,road,neighbourhood,city_district,postcode,state,latitude,longitude,latitude g,longitude g
"LOT 14578 & 14579, JLN TRAS. TAMAN RAUB JAYA 3, RAUB, PAHANG, 27600",LOT 14578 & 14579,,JLN TRAS,TAMAN RAUB JAYA 3,RAUB,27600,PAHANG,,,3.080574,101.765596
"F1 & F2, Empire Shopping Gallery, Jalan SS16/1,47500 Subang Jaya",F1 & F2,Empire Shopping Gallery,Jalan SS16/1,,Subang Jaya,47500,,3.082211,101.582722,3.05519,101.55864
"Starhill Gallery Terrace 181, Jalan Bukit Bintang 55100 Kuala Lumpur",,Starhill Gallery Terrace 181,Jalan Bukit Bintang,,Kuala Lumpur,55100,,3.14785,101.713177,3.14616,101.71032
"C22, Concourse Level, Suria KLCC Kuala Lumpur Convention Center, 50088 Kuala Lumpur","C22, Concourse Level",Suria KLCC  Kuala Lumpur Convention Center,,,Kuala Lumpur,50088,,3.158624,101.712194,3.14776,101.69402
"Blok A dan B, Kompleks Islam Putrajaya, No.23, Jalan Tunku Abdul Rahman,, Presint 3, 62100 Putrajaya",Blok A dan B,"Kompleks Islam Putrajaya, No 23",Jalan Tunku Abdul Rahman,Presint 3,Putrajaya,62100,,2.917799,101.6813,4.33124,113.99828
"31st Floor, Menara Bank Islam,22, Jalan Perak, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",31st Floor,Menara Bank Islam,"22, Jalan Perak",,Kuala Lumpur,50450,Wilayah Persekutuan Kuala Lumpur,3.153255,101.710683,3.08082,101.73241
"Lot No. Upper Ground Floor 06 & 07 No. 1, Jalan SS7/26A Kelana Jaya 47301 Petaling Jaya, Selangor",Lot No. Upper Ground Floor 06 & 07 No. 1,,Jalan SS7/26A Kelana Jaya,,Petaling Jaya,47301,Selangor,3.105027,101.596018,3.080717,101.765318
"163D-1-19 & 20, Gurney Paragon Persiaran Gurney, 10250 Penang",163D-1-19 & 20,,,,Gurney Paragon Persiaran Gurney,10250,Penang,,,5.43675,100.31218
"Lot No. G1.132 & G1.132A Ground Floor, Sunway Pyramid Shopping Mall No. 3, Jalan PJS 11/15, Bandar Sunway 46150 Petaling Jaya, Selangor",Lot No. G1.132 & G1.132A Ground Floor,Sunway Pyramid Shopping Mall No. 3,Jalan PJS 11/15,,Bandar Sunway,46150,Selangor,3.072689,101.606431,3.07245,101.60167
"Lantai 2,
Ibu Pejabat TH
201, Jalan Tun Razak
50732 KUALA LUMPUR",Lantai 2,Lembaga Tabung Haji,Jalan Tun Razak,,Kuala Lumpur,50732,,3.158642,101.719784,3.16189,101.71957
"26,27 & 28 Concourse 1 Sentral, Jalan Travers, KL Sentral 50470 Kuala Lumpur","26,27 & 28 Concourse 1 Sentral", KL Sentral,Jalan Travers,,Kuala Lumpur,50470,,3.133293,101.686881,3.13493,101.68547
"Jabatan Wakaf, Zakat & Haji (JAWHAR)
Aras 8-9, Blok D, Kompleks Islam Putrajaya (KIP),
Jalan Tun Abdul Razak, Presint 3,
62100 Putrajaya, Malaysia","Aras 8-9, Blok D","Jabatan Wakaf, Zakat & Haji (JAWHAR)
",Jalan Tun Abdul Razak,Presint 3,Putrajaya,62100,Putrajaya,2.917242,101.682756,2.923514,101.705304
"GF-135 &GF-135A, 100, Persiaran Bayan Indah, 11900 Bayan Lepas, Pulau Pinang","GF-135 &GF-135A, 100",,,Persiaran Bayan Indah,Bayan Lepas,11900,Pulau Pinang,5.333522,100.306373,5.32784,100.27337
"Bangunan Muzium TM
Jalan Raja Chulan
50200 Kuala Lumpur",,Bangunan Muzium TM,Jalan Raja Chulan,,Kuala Lumpur,50200,,,,3.30722,101.58764
"Komtar JBCC, Level Ground Floor, Lot G32 , Jalan Wong Ah Fook, 80000 Johor Bahru","Lot G32,Level Ground Floor",,Jalan Wong Ah Fook,, Johor Bahru,80000,,,,1.4589,103.765
"Lot G41,G42 & G43, Ground Floor, The Spring, Persiaran Spring, 93300 Kuching, Sarawak, Malaysia","Lot G41,G42 & G43","Ground Floor, The Spring",,Persiaran Spring,Kuching,93300,Sarawak,1.535491,", 110.358577",3.04502,101.74104
"TNB Klang, Jalan Meru , Peti Surat 2010, 41990 Klang, Selangor.",Peti Surat 2010,TNB Klang ,Jalan Meru,,Klang,41990,Selangor,,,3.5166,101.09687
"Wisma Low Kim Her, Kuala Lumpur, Wilayah Persekutuan , Malaysia",,Wisma Low Kim Her,,,Kuala Lumpur,,Wilayah Persekutuan,,,3.12886,101.68341
"Ground Floor, The Weld, Jln Raja Chulan Kuala Lumpur, Wilayah Persekutuan 50200, Malaysia",Ground Floor,The Weld,Jln Raja Chulan,,Kuala Lumpur,50200,Wilayah Persekutuan,3.129143,101.683734,3.30722,101.58764
"The Gardens L1-2 Lingkaran Syed Putra, 59200 Kuala Lumpur, Wilayah Perseketuan, Malaysia", L1-2 Lingkaran Syed Putra,The Gardens,,,Kuala Lumpur,59200,Wilayah Perseketuan,3.118853,101.67604,3.12031,101.68552
"G3&G4 Ground Floor 156, Jalan Ampang 50450 Kuala Lumpur",G3&G4, Ground Floor 156,Jalan Ampang,,Kuala Lumpur,50450,,3.159171,101.713607,3.15279,101.69981
"Jalan Pantai Baharu
59990 Kuala Lumpur",,Syabas Office,Jalan Pantai Baharu,,Kuala Lumpur,59990,Wilayah Perseketuan,,,3.14776,101.69402
"Lot G-3A, Ground Floor, IOI CITY MALL, IOI Resort, 62502 Putrajaya, Malaysia",Lot G-3A,Ground Floor,IOI Resort,,Putrajaya,62502,,2.969725,101.71444,2.941582,101.653785
"24-26, Jalan Harimau Tarum, Taman Century, 80250 Johor Bahru, Johor",24-26,,Jalan Harimau Tarum,Taman Century,Johor Bharu,80250,Johor,"1.480178,",103.763963,1.48611,103.76006
"Lot G29-G31 Imago Mall, Off Coastal Highway, 88100 KK, Sabah",Lot G29-G31,Imago Mall,Off Coastal Highway,,Kota Kinabalu,88100,Sabah,5.969736,116.066521,2.05029,103.33848
"Lot G - 082 Ground Floor, Lingkaran Syed Putra, Kuala Lumpur, Selangor 59200 Malaysia",Lot G - 082,Ground Floor,Lingkaran Syed Putra,,Kuala Lumpur,59200,Selangor,,,3.028719,101.779869
"Aras 6, Blok B2 
Kompleks Jabatan Perdana Menteri 
Pusat Pentadbiran Kerajaan Persekutuan 
62502 Putrajaya Malaysia","Aras 6, Blok B2",Pusat Pentadbiran Kerajaan Persekutuan,,Kompleks Jabatan Perdana Menteri,Putrajaya,62502,,,,2.941582,101.653785
"Lot G19B, Ground Floor, AEON MALL Tebrau City, No 1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100, Johor Bahru, Johor",No 1,"lot G19B, Ground Floor, AEON MALL Tebrau City",Jalan Desa Tebrau,Taman Desa Tebrau,Johor Bahru,81100,Johor,,,1.46367,103.77194
"No. 5,Persiaran Perdana, Presint 2 , Pusat Pentadbiran Kerajaan Persekutuan ,62592 Wilayah Perseketuan Putrajaya .",No. 5,Pusat Pentadbiran Kerajaan Persekutuan,Persiaran Perdana,Presint 2,Putrajaya,62592,Wilayah Perseketuan,,,4.52324,101.07419
"Lot G139C, Ground Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama City Centre, Bandar Utama, 47800 Petaling Jaya, Selangor",Lot G139C,"Ground Floor, 1 Utama Shopping Centre"," 1,Lebuh Bandar Utama","Bandar Utama City Centre, Bandar Utama",Petaling Jaya,47800,Selangor,,,3.08137,101.64668
"2 Jln Tambunan-ranau Kampung Pomotodon, Sabah 89657, Malaysia",2,,Jalan Tambunan-ranau Kampung Promotodon,,,89657,Sabah,,,6.15588,100.37052
"AEON Mall Shah Alam, G023 No. 1, Jalan Akuatik 13/64, Seksyen 13, 40100 Shah Alam, Selangor Darul Ehsan",G023 No. 1,AEON Mall Shah Alam, Jalan Akuatik 13/64,Seksyen 13,Shah Alam,40100,Selangor,3.075997,101.548327,3.07676,101.54268
"Genting Highlands Resort, Lot No. T2A-49 & 50, Level T2A, Sky Avenue, Genting Highlands, 69000 Genting Highlands, Pahang",Lot No. T2A-49 & 50,Genting Highlands Resort,, Sky Avenue,Genting Highlands,69000,Pahang,3.423978,101.793072,3.46536,101.66068
"No. 35, Jln Sb Indah 1/2A Taman Sungai Besi Indah Seri Kembangan, Selangor 43300, Malaysia",No. 35,,Jln Sb Indah 1/2A,Taman Sungai Besi Indah,Seri Kembangan,43300,Selangor,,,3.027198,101.724674
"1st Floor, Mid Valley Megamall, Psn Mid Valley Mid Valley City Kuala Lumpur, Wilayah Persekutuan 58000, Malaysia",1st Floor,Mid Valley Megamall,Psn Mid Valley Mid Valley City,,Kuala Lumpur,58000,Wilayah Persekutuan,3.117857,101.677378,3.11799,101.6766
"IFiC KL Sentral
Aras Bawah & Aras 1, 
Bllok D, Plaza Sentral,
Menara TH Sentral,
Jalan Stesen Sentral 5,
Kuala Lumpur Sentral
50470 KUALA LUMPUR",Aras Bawah & Aras 1,"Bllok D, Plaza Sentral,
Menara TH Sentral",Jalan Stesen Sentral 5,,Kuala Lumpur ,50470,,,,3.13533,101.68649
"Lantai 2,
Ibu Pejabat TH
201, Jalan Tun Razak
50732 KUALA LUMPUR",201,"Lantai 2,
Ibu Pejabat TH", Jalan Tun Razak,,Kuala Lumpur ,50732,,,,3.16189,101.71957
"Kompleks Islam Putrajaya, 
Blok B,
Jalan Tunku Abdul Rahman, 
Presint 3,
Pusat Pentadbiran Kerajaan Persekutuan
62100 PUTRAJAYA",,"Kompleks Islam Putrajaya, 
Blok B,",Jalan Tunku Abdul Rahman,Presint 3,PUTRAJAYA,62100,,,,2.923514,101.705304
"Tingkat M, Bangunan TH
Lot 3500 
Jalan Bunga Kesuma
Peti Surat 81607
87026 LABUAN",Lot 3500 ,"Tingkat M, Bangunan TH",Jalan Bunga Kesuma,,LABUAN,87026,,,,2.28112,102.26061
"3,Jalan Baiduri 10/D,Taman Intan Baiduri, 68100 Selayang,Selangor",3,,Jalan Baiduri 10/D,Taman Intan Baiduri,"
Selayang",68100,Selangor,,,3.23434,101.64782
"Telekom Sales & Services Sdn Bhd 
Level 38, North Wing, Menara TM
Jalan Pantai Baru
50672 Kuala Lumpur
Malaysia",,"Level 38, North Wing, Menara TM",Jalan Pantai Baru,,Kuala Lumpur,50672,,,,3.14445,101.70961
"Unit No. 3-55, Level 3, Quill City Mall, Lot 1018, Jalan Sultan Ismail, 52520 Kuala Lumpur","Unit No. 3-55, Lot 1018"," Level 3, Quill City Mall",Jalan Sultan Ismail,,Kuala Lumpur,52520,,,,3.19542,101.64908
"Ibusawat TM Setapak
44, Persiaran Kuantan
53200 Kuala Lumpur",44,Ibusawat TM Setapak,,Persiaran Kuantan,Kuala Lumpur,53200,,,,3.14776,101.69402
"Tkt Bawah, Menara TM
Jalan Pantai Bharu
50672 Kuala Lumpur",Tkt Bawah,Menara TM,Jalan Pantai Bharu,,Kuala Lumpur,50672,,,,3.30722,101.58764
"L1/O2, Tingkat Bawah
Menara Maxisegar, Jalan Pandan Indah 4/2
Pandan Indah,55100 Kuala Lumpur","L1/O2, Tingkat Bawah",Menara Maxisegar,Jalan Pandan Indah,Pandan Indah,Kuala Lumpur,55100,,,,3.13252,101.75331
"Tkt Bawah, Wisma TM Taman Desa
Jalan Desa Utama
58100 Kuala Lumpur",Tkt Bawah,Wisma TM Taman Desa,Jalan Desa Utama,,Kuala Lumpur,58100,,,,3.10857,101.68711
"No 67, Jalan Metro Perdana Barat 1 
Taman Usahawan Kepong Utara 
52100 Kepong, Kuala Lumpur",No 67,,Jalan Metro Perdana Barat 1,Taman Usahawan Kepong Utara,Kepong,52100,,,,3.21468,101.63917
"B-4-5,5th Floor Northpoint Offices,Mdn Syed Put Mid Valley City ,59200 Kuala Lumpur,Wilayah Persekutuan","B-4-5,5th Floor",Northpoint Offices,Mdn Syed Put Mid Valley City,,"
Kuala Lumpur",59200,Wilayah Persekutuan,3.120341,101.677981,3.11995,101.6775
"Ibu Pejabat Lembaga Hasil Dalam Negeri,Persiaran Rimba Permai,Cyber 8,63000 Cyberjaya,Selangor",,Ibu Pejabat Lembaga Hasil Dalam Negeri,,Persiaran Rimba Permai ,Cyber 8,63000,Selangor,,,3.13908,101.69632
"Unit D2 179-3rd Floor, Jalan Bukit Bintang, Bukit Bintang , 55100 Kuala Lumpur ,Wilayah Persekutuan",179 -3rd Floor,,Jalan Bukit Bintang,Bukit Bintang,Kuala Lumpur,55100,Wilayah Persekutuan,,,3.14616,101.71032
"No. 60-1 (1st Floor), Jalan PJU 5/20,, The Strand Kota Damansara,, The Strand, 47810 Petaling Jaya, Selangor",60-1-1st Floor,The Strand,Jalan Pju 5/20,The Strand Kota Damansara,Petaling Jaya,47810,Selangor,,,3.1541,101.59127
"No. 325 -1st Floor, Jalan Mahkota , Taman Maluri , 55100 Kuala Lumpur , Wilayah Persekutuan",No. 325 -1st Floor,,Jalan Mahkota,Taman Maluri,Kuala Lumpur,55100,Wilayah Persekutuan,,,3.12777,101.73264
"No. 7 , Jalan Ss7/6b , Kelana Jaya, 47301 Petaling Jaya , Selangor",No. 7,,Jalan Ss7/6b,Kelana Jaya,Petaling Jaya,47301,Selangor,,,2.92711,101.85091
"No. 346A-Blok C , Lorong Kedah , Taman Melawati , Kuala Lumpur , Wilayah Persekutuan",No. 346A-Blok C,,Lorong Kedah,Taman Melawati,Kuala Lumpur,53100,Wilayah Persekutuan,,,3.06576,101.4494
"Pengurus Kawasan (Petaling Jaya), Bahagian Pembahagian Tenaga
Nasional Berhad, 72, Jln. Selangor, 46990 Petaling Jaya, Selangor. 
",72,"Bahagian Pembahagian Tenaga
Nasional Berhad",Jln. Selangor,,Petaling Jaya,46990,Selangor,,,3.10349,101.64819
"8I, Ground Floor, Psn Brooke Sibu, Sarawak 96000, Malaysia",81,"8I, Ground Floor",Psn Brooke Sibu,,Sibu,96000,Sarawak,,,2.31029,111.88731
"TNB Subang Jaya, Subang Square, East Wing E-01-0, Jalan SS 15/4G, 47500
Subang Jaya, Selangor. ",East Wing E-01-0,Subang Square,Jalan SS 15/4G,,Subang Jaya,47500,Selangor,,,3.07927,101.5895
"No. 9, Jln Mutiara 4 Taman Mutiara Kuala Lumpur, Wilayah Persekutuan 56000, Malaysia",No. 9,,Jln Mutiara 4,Taman Mutiara,Kuala Lumpur,56000,Wilayah Persekutuan,,,1.49302,103.43508
"TNB Bangi, Lot 1, Jalan 6C/13, Bandar Baru Bangi, 43650 Selangor.",Lot 1,,Jalan 6C/13,Bandar Baru Bangi,,43650,Selangor,,,3.019673,101.767415
"TNB Shah Alam, Persiaran Damai, Seksyen 11, 40702 Shah Alam, Selangor. ",,,,"Persiaran Damai, Seksyen 11",Shah Alam,40702,Selangor,,,5.51628,100.48748
"Pengurus Kawasan (Cheras), Bah. Pembahagian Tenaga Nasional Berhad,
No 13, Jln. Suarasa 8/3, Bandar Tun Hussien Onn, 46990 Cheras, Selangor.",No. 13,,Jln Suarasa 8/3,Bandar Tun Hussein Onn,Cheras,46990,Selangor,,,3.046243,101.75858
"TNB Banting Lot 4 Jalan Bunga Pekan 42700 Banting Selangor.
",Lot 4,,Jalan Bunga Pekan,,Banting,42700,Selangor,,,2.8135,101.50633
"Aras Bawah, Lebuh Batu Nilam 1,Bandar Bukit Tinggi, Selangor.",,Aras Bawah,Lebuh Batu Nilam 1,Bandar Bukit Tinggi,,,Selangor,,,3.00987,101.42816
"Pengurus Cawangan (sungai Besar), Lot 4744 & 4745, Jalan Sungai Limau,
45300 Sungai Besar, Selangor Darul Ehsan.",Lot 4744 & 4745,,Jalan Sungai Limau,,Sungai Besar,45300,Selangor,,,3.118328,101.857298
"Pengurus Kawasan (Kuala Selangor), No 19 Jalan Raja Idris, 45000 Kuala
Selangor, Selangor. 
",No 19,,Jalan Raja Idris,,Kuala Selangor,45000,Selangor,,,3.32751,101.25302
"No. 2 Jalan 2, Medan 120, Bandar Baru Salak Tinggi, 43900 Sepang,
Selangor. ",No 2,,"Jalan 2, Medan 120",Bandar Baru Salak TInggi,Sepang,43900,Selangor,,,2.81307,101.74002
"TNB, Jalan Besar, 43000 Kajang. ",,,Jalan Besar,,Kajang,43000,,,,3.05333,101.802045
"7th Floor, Bangunan Syed Kechik, Jln Kapas Bukit Bandaraya Kuala Lumpur, Wilayah Persekutuan 59100, Malaysia",7th Floor,Bangunan Syed Kechik,Jalan Kapas Bukit Bandaraya,,Kuala Lumpur,59100,Wilayah Persekutuan,,,3.14039,101.66154
"Pejabat Pengurus Kawasan (KL-Barat), Tingkat G, Wisma TNB, Jalan
Kepong, Peti Surat 11031, 50732 Kuala Lumpur. ",Peti Surat 11031,"Pejabat Pengurus Kawasan (KL-Barat), Tingkat G",Jalan Kepong,Wisma TNB,Kuala Lumpur,50732,,,,3.14776,101.69402
"TNB KL Timur, 247 & 248, Jalan Bandar 13, Taman Melawati, 53100 Kuala
Lumpur. ",247 & 248,TNB KL Timur,Jalan Bandar 13,Taman Melawati,Kuala Lumpur,53100,,,,3.22759,101.74506
"TNB Kuala Lumpur Pusat, Pusat Khidmat Pelanggan (PKP) TNB UTC PUDU
SENTRAL, Aras 3, Pudu Sentral, 55100, Kuala Lumpur",Aras 3,"Pusat Khidmat Pelanggan (PKP) TNB UTC PUDU
SENTRAL",,,Kuala Lumpur,55100,,,,3.13533,101.68649
"TNB Kuala Lumpur Pusat, Aras Bawah, Banguna Dua Sentral, No. 8, Jln Tun
Sambathan, 50470 Brickfields, Kuala Lumpur",No.8,"TNB Kuala Lumpur Pusat, Aras Bawah, Banguna Dua Sentral",Jln Tun Sambathan,,Kuala Lumpur,50470,,,,3.12803,101.68158
"Pejabat Pengurus Kawasan (KL-Selatan), No 2 Jln 1/137C Bedford Business
Park, 58200 Kuala Lumpur. ",No 2,Pejabat Pengurus Kawasan (KL-Selatan),"Jln 1/137C Bedford Business
Park",,Kuala Lumpur,58200,,,,3.08665,101.66999
"TNB Kampar, Pejabat Pengurus Kawasan Kampar, Jalan Timah, Taman
Bandar Baru, 31900 Kampar, Perak.",,"TNB Kampar, Pejabat Pengurus Kawasan Kampar",Jalan Timah,Taman Bandar Baru,,31900,Perak,,,4.31969,101.13932
"TNB Seberang Perai, Pengurus Kawasan (Seberang Jaya), Wisma TNB,
3031, Jln Tenaga, Seberang Jaya, 13700 Perai, Pulau Pinang.
",3031,"TNB Seberang Perai, Pengurus Kawasan (Seberang Jaya)",Jln Tenaga, Seberang Jaya,Perai,13700,Pulau Pinang,,,2.68401,101.94871
"TNB Pulau Pinang, Tingkat 2, Wisma TNB, No.30, Jalan Anson, 10400 Pulau
Pinang.
",No.30,"TNB Pulau Pinang, Tingkat 2, Wisma TNB",Jalan Anson,,,10400,"Pulau
Pinang",,,5.41634,100.32101
"Pengurus Cawangan (Bayan Baru), Bahagian Pembahagian TNB, No 64, Off
Jalan Mahsuri, 11900 Bayan Baru, Pulau Pinang.
",No 64,"Pengurus Cawangan (Bayan Baru), Bahagian Pembahagian TNB",Off Jalan Mahsuri,,Bayan Baru,11900,Pulau Pinang,,,5.41924,100.34057
"Bulatan Jubli Emas, 01000 Kangar, Perlis.",,,Bulatan Jubli Emas,,Kangar,1000,Perlis,,,6.43764,100.19349
"PT 7444 (Kompleks 18) Jalan BBN 1/2H, Bandar Baru Nilai,71800 Negeri
Sembilan Darul Khusus.
",PT 7444 (Kompleks 18),Jalan BBN 1/2H,Bandar Baru Nilai,,,71800,"Negeri
Sembilan",,,2.81329,101.79353
"Jalan Putra, 09000 Kulim, Kedah.",,,Jalan Putra,,Kulim,9000,Kedah,,,5.37052,100.54497
"Pengurus Kawasan (Temerloh) Bahagian Pembahagian Tenaga Nasional
Berhad, No. 40A, Jalan Tengku Ismail, 28000 Temerloh, Pahang Darul
Makmur.",No. 40A,"Pengurus Kawasan (Temerloh) Bahagian Pembahagian Tenaga Nasional
Berhad",Jalan Tengku Ismail,,Temerloh,28000,Pahang,,,3.058912,101.771392
"TNB Kota Bharu, Aras 2, Wisma TNB, Jalan Tok Hakim, 15000 Kota
Bharu,Kelantan.",,"TNB Kota Bharu, Aras 2, Wisma TNB", Jalan Tok Hakim,,Kota Bharu,15000,Kelantan,,,4.58451,101.08437
"Jln 8/101 Taman Rajawali Kuala Lumpur, Wilayah Persekutuan 56100, Malaysia",,,Jalan 8/101,Taman Rajawali,Kuala Lumpur,56100,Wilayah Persekutuan,,,3.10401,101.75012
"Jalan pantai bahru, menara tm Bangsar, Wilayah Persekutuan , Malaysia",,,Jalan pantai bahru,menara tm,Bangsar,,Wilayah Persekutuan,,,2.26912,102.2904
"Cova Square, Jln Teknologi PJU5 Kota Damansara Petaling Jaya, Selangor 47810, Malaysia",,Cova Square,Jln Teknologi PJU5,Kota Damansara,Petaling Jaya,47810,Selangor ,,,3.16529,101.57525
"No. 42, Jln 11/116b Kuchai Intrepreneur Park Kuala Lumpur, Wilayah Persekutuan 58200, Malaysia",No. 42,,Jln 11/116b Kuchai Intrepreneur Park,,Kuala Lumpur,58200,Wilayah Persekutuan,,,3.08561,101.69001
"6, Jalan Apollo U5/191,Bandar Pinggiran Subang, Seksyen U5 Shah Alam, Selangor 40150, Malaysia",6,,Jalan Apollo U5/191,"Bandar Pinggiran Subang, Seksyen U5",Shah Alam,40150,Selangor,,,3.15891,101.55116
"No. 603, 6th Floor, Majestic Square, Jln Othman, Seksyen 3, Petaling Jaya, Selangor 46000, Malaysia","No. 603, 6th Floor",Majestic Square,Jln Othman,Seksyen 3,Petaling Jaya,46000,Selangor,,,3.08639,101.64974
"Jln Selat Selatan 21 Sobena Jaya Industrial Park Pendamaran Klang, Selangor 42000, Malaysia",,,Jln Selat Selatan 21,Sobena Jaya Industrial Park Pendamaran,"Klang,",42000, Selangor,,,3.00598,101.42086
"Block G, Jln 3/101c Cheras Business Centre Cheras, Selangor 56100, Malaysia",Block G,,Jln 3/101c Cheras Business Centre,,Cheras,56100,Selangor,,,6.15525,100.37191
"5A, Jln Sg Keranji Q32/q Kemuning Greenvill Seksyen 32 Shah Alam, Selangor 40460, Malaysia",5A,, Jln Sg Keranji Q32/q Kemuning Greenvill ,Seksyen 32 , Shah Alam,40460,Selangor,,,2.97935,101.53305
"PT13698, 1st Floor, Taman Cukai Utama 24000, Malaysia","PT13698,, 1st Floor",,,Taman Cukai Utama,,24000,,,,6.15525,100.37191
"K4, Taman Jadi Tanjung Gemok Bandar Chanis, Pahang 26820, Malaysia",K4,,,Taman Jadi Tanjung Gemok Bandar Chanis,,26820,Pahang,,,3.19823,101.67907
"Blok E, Jln 18/14 Taman Sri Serdang Seri Kembangan, Selangor 43300, Malaysia",Blok E,,Jln 18/14 ,Taman Sri Serdang ,Seri Kembangan,43300,Selangor,,,3.029739,101.715931
"TNB Teluk Intan, Bahagian Pembahagian TNB, Jalan Changkat Jong, 36000
Teluk Intan",,"TNB Teluk Intan, Bahagian Pembahagian TNB",Jalan Changkat Jong,,Teluk Intan,36000,,,,5.43982,100.38069
"Jln Sulaimani, 24000 Chukai, Kemaman, Terengganu.",,,Jln Sulaiman,Chukai,Kemaman,24000,Terengganu,,,4.23268,103.42561
